topic_id,video_count,median_views,median_like_rate,top_category,category_mix,topic_label
24,121,73748.0,0.0220125786163522,entertainment,"{'entertainment': 119, 'fitness': 2}",24_ellen_ariana grande_celebrity_jessica
3,522,73725.5,0.03212302028564746,tech,"{'tech': 517, 'gaming': 3, 'research_science': 1, 'fitness': 1}",3_amd_gpu_gpus_amd ryzen
35,86,73181.0,0.03503171935063268,entertainment,"{'entertainment': 79, 'research_science': 3, 'gaming': 2, 'food': 1, 'tech': 1}",35_disney_walt disney_toy story_mermaid
229,16,71389.5,0.03367241043897731,entertainment,"{'entertainment': 9, 'gaming': 7}",229_invincible_boys invincible_superhero_invincible hazbin
212,18,69842.5,0.03838133410076737,gaming,{'gaming': 18},212_cowboy_simulator gameplay_simulator_ranch
195,20,68569.0,0.01894225406495345,tech,{'tech': 20},195_xbox_rog_xbox xbox_pc gaming
220,17,67815.0,0.03320282257172562,entertainment,"{'entertainment': 12, 'tech': 4, 'research_science': 1}",220_bowl super_super bowl_bowl halftime_bowl 2026
251,14,67669.0,0.03984836335517079,research_science,"{'research_science': 7, 'tech': 6, 'entertainment': 1}",251_3d printed_3d printing_3d printers_3d print
231,16,66867.0,0.016838423317841314,entertainment,{'entertainment': 16},231_rachel_monica_wears prada_work life
183,22,66201.0,0.0621368005720237,tech,{'tech': 22},183_indigenous_native_indian_american history
81,50,66094.0,0.021152462501126,food,{'food': 50},81_chicken_chefs_street food_korean
151,29,63899.0,0.026698383386281475,entertainment,{'entertainment': 29},151_stranger things_things finale_trailer stranger_things stranger
223,17,63870.0,0.03806764341424302,entertainment,{'entertainment': 17},223_swim_adult_favorite shows_hbo max
257,13,62851.0,0.039168463557258164,entertainment,{'entertainment': 13},257_daredevil born_daredevil_season trailer_spider man
44,76,62688.0,0.03555145946171477,entertainment,"{'entertainment': 74, 'tech': 1, 'fitness': 1}",44_infringing_viral tiktok_copyright disclaimer_permitted copyright
18,150,62567.0,0.021741936340501693,gaming,"{'gaming': 149, 'tech': 1}",18_arc raiders_raiders_raider_arc
54,62,61877.0,0.037163435786578464,research_science,"{'research_science': 60, 'tech': 2}",54_timelapse_observatory_sky_astronomy
85,50,61382.5,0.01540820344190997,entertainment,{'entertainment': 50},85_voice_vocal_singer_singing
163,27,59265.0,0.01741502308015107,entertainment,{'entertainment': 27},163_margot robbie_margot_robbie_superheroes movie
273,12,57418.0,0.05723453471860833,food,{'food': 12},273_dish_recipe_dishes_meals
60,57,56192.0,0.021197510925327758,entertainment,{'entertainment': 57},60_hbo max_hbo_new episodes_warner bros
227,16,55947.0,0.046505417018707376,entertainment,{'entertainment': 16},227_sinners_filmmaking_film_cinema
248,14,55689.5,0.011602788925513745,entertainment,"{'entertainment': 10, 'research_science': 2, 'gaming': 1, 'tech': 1}",248_iran_usa news_iranian_nuclear
123,39,55205.0,0.06714971469975546,entertainment,{'entertainment': 39},123_movies mikey_mikey_movies_tournament
276,11,53350.0,0.0331958762886598,fitness,{'fitness': 11},276_tiktok twitch_instagram tiktok_twitch_tiktok
253,14,53158.0,0.04547321260898397,entertainment,"{'entertainment': 13, 'gaming': 1}",253_monsters_hunger games_star wars_sea
14,171,53110.0,0.041405203340758145,tech,"{'tech': 161, 'gaming': 4, 'research_science': 4, 'entertainment': 1, 'fitness': 1}",14_cybersecurity_computer security_malware_hackers
206,19,52906.0,0.05212949679730261,research_science,{'research_science': 19},206_protons neutrons_neutrons_neutron_atoms
265,12,52754.0,0.019810364227600206,entertainment,{'entertainment': 12},265_battle_movie review_new movie_best film
288,10,52217.0,0.05659844456333133,entertainment,"{'entertainment': 6, 'research_science': 3, 'fitness': 1}",288_crying_tears_conversations video_video constitute
65,55,51585.0,0.007472406937684239,entertainment,"{'entertainment': 54, 'food': 1}",65_nickelodeon_spongebob squarepants_spongebob_spongebob spongebob
116,40,51463.0,0.033441379670992394,fitness,"{'fitness': 38, 'gaming': 1, 'entertainment': 1}",116_instagram tiktok_tiktok twitch_influencer_tiktok
283,11,51061.0,0.016749579471028238,gaming,"{'gaming': 9, 'entertainment': 1, 'tech': 1}",283_god war_god_greek_available playstation
73,52,50033.0,0.016476451161822024,entertainment,{'entertainment': 52},73_hazbin hotel_hotel summer_hotel_hazbin
125,38,49666.0,0.051972830872226636,tech,"{'tech': 34, 'gaming': 3, 'research_science': 1}",125_privacy_internet security_cybersecurity_telephone
230,16,46904.5,0.03719356948062801,entertainment,"{'entertainment': 14, 'gaming': 2}",230_super mario_mario_luigi_nintendo
66,54,45086.0,0.02592795751836282,tech,{'tech': 54},66_samsung galaxy_trifold_galaxy fold_review samsung
64,56,44787.0,0.03778564003222076,gaming,"{'gaming': 53, 'entertainment': 3}",64_silent hill_hill_games horror_walkthrough gameplay
252,14,42678.0,0.023849858993151445,tech,"{'tech': 11, 'research_science': 2, 'entertainment': 1}",252_drone_drones_drone footage_antigravity
190,21,41608.0,0.027954514687965344,entertainment,"{'entertainment': 20, 'research_science': 1}",190_goat_goats_spider man_curry
156,28,40776.0,0.038190037068073536,gaming,{'gaming': 28},156_elden_ring_dlc_solo
218,17,38734.0,0.016761234071771453,entertainment,{'entertainment': 17},218_north pole_pole_south pole_national geographic
0,2516,38123.5,0.0347461671699963,fitness,"{'fitness': 2292, 'research_science': 190, 'tech': 11, 'entertainment': 9, 'food': 8, 'gaming': 6}",0_yoga_routine_exercises_workouts
107,43,37337.0,0.03212758745849925,tech,"{'tech': 42, 'gaming': 1}",107_favorite tech_tech gadgets_tech best_tech tech
62,56,34679.5,0.03927028928556067,research_science,{'research_science': 56},62_muon_fermilab physics_101 fermilab_fermilab
139,32,33291.0,0.033153855182370455,fitness,"{'fitness': 24, 'entertainment': 5, 'food': 1, 'gaming': 1, 'research_science': 1}",139_pregnant_pregnancy_week body_baby
132,36,33154.0,0.010336614658110558,tech,"{'tech': 34, 'food': 1, 'research_science': 1}",132_vacuum_dyson_carpet_robot
